Name,Year,Genres
Night Always Comes,2025,Thriller; Drama; Crime
War of the Worlds,2025,Science Fiction; Thriller
Together,2025,Horror
The Pickup,2025,Action; Comedy; Crime
Happy Gilmore 2,2025,Comedy; Drama
The Bad Guys 2,2025,Family; Comedy; Crime; Adventure; Animation
Eddington,2025,Western; Comedy; Crime
Superman,2025,Science Fiction; Adventure; Action
Smurfs,2025,Animation; Family; Fantasy
Jurassic World Rebirth,2025,Science Fiction; Adventure; Action
"Sorry, Baby",2025,Drama; Comedy
M3GAN 2.0,2025,Action; Science Fiction; Thriller
F1,2025,Action; Drama
Heads of State,2025,Action; Thriller; Comedy
KPop Demon Hunters,2025,Animation; Fantasy; Comedy; Music; Family
Bride Hard,2025,Action; Comedy
Elio,2025,Animation; Family; Comedy; Adventure; Science Fiction
28 Years Later,2025,Horror; Thriller; Science Fiction
Trainwreck: Mayor of Mayhem,2025,Documentary
The Unholy Trinity,2025,Western; Adventure; Crime
Diablo,2025,Action; Thriller
Materialists,2025,Romance; Drama
Deep Cover,2025,Action; Comedy; Crime
Titan: The OceanGate Submersible Disaster,2025,Documentary; Drama
I Don't Understand You,2025,Horror; Comedy
How to Train Your Dragon,2025,Action; Family; Fantasy
Predator: Killer of Killers,2025,Animation; Action; Science Fiction; Thriller
The Life of Chuck,2025,Drama; Fantasy
Dangerous Animals,2025,Horror; Thriller
Ballerina,2025,Action; Thriller; Crime
Bring Her Back,2025,Horror
The Phoenician Scheme,2025,Adventure; Comedy
Mission: Impossible - The Final Reckoning,2025,Action; Adventure; Thriller
Lilo & Stitch,2025,Family; Science Fiction; Comedy; Adventure
Hurry Up Tomorrow,2025,Thriller; Music
Final Destination Bloodlines,2025,Horror; Mystery
Sharp Corner,2025,Thriller; Comedy
Juliet & Romeo,2025,Romance; Drama
Friendship,2025,Comedy
Wick Is Pain,2025,Documentary
Karate Kid: Legends,2025,Action; Adventure; Drama
Shadow Force,2025,Action; Thriller; Drama
Rust,2025,Western
Rosario,2025,Horror
Nonnas,2025,Comedy
Thunderbolts*,2025,Action; Science Fiction; Adventure
On Swift Horses,2025,Drama; Romance
Havoc,2025,Action; Crime; Thriller
Until Dawn,2025,Horror; Mystery
The Accountant²,2025,Mystery; Crime; Thriller
The Legend of Ochi,2025,Family; Fantasy; Adventure
Sneaks,2025,Animation; Comedy; Family; Adventure
Sinners,2025,Horror; Thriller
Hallow Road,2025,Thriller; Drama; Horror
The Surfer,2025,Drama; Thriller
Sacramento,2025,Comedy; Drama
Drop,2025,Mystery; Thriller; Horror
Warfare,2025,War; Action
The Amateur,2025,Thriller; Action
